Current,,,,,,,,,,,,,
,,,,,,,,,,,,,
基金碼,基金ISIN Code,基金統編,基金全稱,幣別,經理公司,目前狀態,成立日,清算/合併日,型態,類型,公會分類,投資標的,清算/合併說明
00689R 國泰20年美債反1,TW00000689R5,42482731,國泰美國債券 ETF傘型證券投資信託基金之彭博巴克萊20年期(以上)美國公債指數單日反向1倍證券投資信託基金,NTD,國泰證券投資信託,Current,2017/04/06,,"國內募集,投資國內外",開放,債券-反向ETF,ETF,
00690 兆豐藍籌30,TW0000069004,42482107,兆豐國際臺灣藍籌30ETF傘型證券投資信託基金之兆豐國際臺灣藍籌 30ETF證券投資信託基金,NTD,兆豐國際證券投資信託,Current,2017/03/27,,"國內募集,投資國內",開放,國內指數-一般ETF,ETF,
00691R 兆豐藍籌30反1,TW00000691R1,42482113,兆豐國際臺灣藍籌30ETF傘型證券投資信託基金之兆豐國際臺灣藍籌 30單日反向一倍ETF證券投資信託基金,NTD,兆豐國際證券投資信託,Current,2017/03/27,,"國內募集,投資國內",開放,國內指數-反向ETF,ETF,
00692 富邦公司治理,TW0000069202,42482423,富邦臺灣公司治理100證券投資信託基金,NTD,富邦證券投資信託,Current,2017/05/04,,"國內募集,投資國內",開放,國內指數-一般ETF,ETF,
00693U 華頓S&P黃豆,TW00000693U1,42484858,華頓標普高盛黃豆ER指數股票型期貨信託基金,NTD,國票華頓證券投資信託,Current,2017/04/17,,"國內募集,投資國內外",開放,,ETF,
00694B 富邦美債1-3,TW00000694B9,42519239,富邦美國政府債券 ETF傘型證券投資信託基金之富邦美國政府債券 1-3年期證券投資信託基金,NTD,富邦證券投資信託,Current,2017/05/31,,"國內募集,投資國內外",開放,債券-一般ETF,ETF,
00695B 富邦美債7-10,TW00000695B6,42519245,富邦美國政府債券 ETF傘型證券投資信託基金之富邦美國政府債券7-10年期證券投資信託基金,NTD,富邦證券投資信託,Current,2017/05/31,,"國內募集,投資國內外",開放,債券-一般ETF,ETF,
00696B 富邦美債20年,TW00000696B4,42519250,富邦美國政府債券 ETF傘型證券投資信託基金之富邦美國政府債券20年期以上證券投資信託基金,NTD,富邦證券投資信託,Current,2017/05/31,,"國內募集,投資國內外",開放,債券-一般ETF,ETF,
00697B 元大美債7-10,TW00000697B2,42469744,元大美國政府 7至10年期債券 ETF傘型證券投資信託基金之元大美國政府 7至10年期債券證券投資信託基金,NTD,元大證券投資信託,Current,2017/06/15,,"國內募集,投資國內外",開放,債券-一般ETF,ETF,
00698L 元大美債 7-10正2,TW00000698L9,42469759,元大美國政府 7至10年期債券 ETF傘型證券投資信託基金之元大美國政府 7至10年期債券單日正向 2倍基金,NTD,元大證券投資信託,Current,2017/06/15,2018/08/08,"國內募集,投資國內外",開放,債券-二倍ETF,ETF,清算
00699R 元大美債 7-10反1,TW00000699R4,42469765,元大美國政府 7至10年期債券 ETF傘型證券投資信託基金之元大美國政府 7至10年期債券單日反向 1倍基金,NTD,元大證券投資信託,Current,2017/06/15,2018/08/16,"國內募集,投資國內外",開放,債券-反向ETF,ETF,清算
00700 富邦恒生國企,TW0000070002,42464918,富邦恒生國企ETF 證券投資信託基金,NTD,富邦證券投資信託,Current,2017/07/21,,"國內募集,投資國內外",開放,其他市場ETF,ETF,
00701 國泰臺灣低波動30,TW0000070101,42530591,國泰低波動 ETF傘型證券投資信託基金之臺灣低波動精選30證券投資信託基金,NTD,國泰證券投資信託,Current,2017/08/09,,"國內募集,投資國內",開放,國內指數-一般ETF,ETF,
00702 國泰標普低波高息,TW0000070200,42530608,國泰低波動 ETF傘型證券投資信託基金之美國標普 500低波動高股息證券投資信託基金,NTD,國泰證券投資信託,Current,2017/08/09,,"國內募集,投資國內外",開放,美國ETF,ETF,
00703 台新MSCI中國,TW0000070309,42528997,台新MSCI新興市場國家傘型 ETF證券投資信託基金之台新MSCI中國證券投資信託基金,NTD,台新證券投資信託,Current,2017/08/02,,"國內募集,投資國內外",開放,跨國-中國一般ETF,ETF,
00704L 台新MSCI台灣正2,TW00000704L5,42528976,台新MSCI新興市場國家傘型 ETF證券投資信託基金之台新MSCI台灣單日正向 2倍基金,NTD,台新證券投資信託,Current,2017/08/02,2018/12/06,"國內募集,投資國內",開放,國內指數-二倍ETF,ETF,清算
00705R 台新MSCI台灣反1,TW00000705R9,42528960,台新MSCI新興市場國家傘型 ETF證券投資信託基金之台新MSCI台灣單日反向 1倍基金,NTD,台新證券投資信託,Current,2017/08/02,2018/12/06,"國內募集,投資國內",開放,國內指數-反向ETF,ETF,清算
